Leader,Follower,LagCorr
087,088,0.18753210723582142
039,057,0.18760603333135398
012,024,0.18761802970785005
069,059,0.18762205876690802
016,080,0.18762539467202752
094,055,0.18767476869903824
066,054,0.1876755758196676
061,082,0.18768260612117985
048,034,0.18769107113806535
041,023,0.18775451325183273
004,053,0.1877720398292178
057,031,0.18777642842939432
022,030,0.18790096419009583
040,099,0.18795517544024096
063,034,0.18800628670842165
044,001,0.18801148356157077
054,023,0.1881097021263756
044,021,0.18811551777307647
003,023,0.18817682916536455
033,044,0.18824294161502464
086,050,0.18834403706105782
038,022,0.18851704512498696
082,062,0.18852773421418959
076,004,0.18866602895455023
061,085,0.18868046313564363
058,055,0.18869032477091877
001,042,0.18870516703291135
025,021,0.18873956178224868
039,026,0.188749646753445
074,070,0.18882940261264303
023,083,0.1888514973597472
008,027,0.1891445104344065
059,069,0.1891923352084164
016,045,0.18921495903875857
012,094,0.18923824954073515
050,046,0.18924774898577593
095,060,0.18930719383201078
092,074,0.189352964337603
023,073,0.1893702521807539
064,033,0.18941592407128538
087,063,0.18945531780932473
012,090,0.18952489141584686
089,078,0.18953725642985192
007,016,0.1895710779164723
071,014,0.1896397906932158
024,072,0.18964422165023606
050,091,0.18968507321440392
045,069,0.18979580746768987
044,043,0.18982496766324236
059,091,0.189837766198664
045,055,0.1898584124980038
079,069,0.18986428271674283
081,071,0.18994102244275948
066,060,0.18994482590350048
058,066,0.18995407464846875
058,071,0.18995743921913782
046,067,0.18996490199478347
017,065,0.1899717962647029
017,002,0.19004326222396384
046,007,0.1900664310697379
050,077,0.19011082567177848
071,059,0.19014469757901378
074,084,0.1901481635685392
055,058,0.19015127328848636
077,022,0.19038401985556266
063,002,0.1905460547316945
055,025,0.1905543982993639
041,048,0.19072230698040119
058,095,0.19082374075790814
040,039,0.1909292968726131
068,092,0.19093432496354723
078,033,0.19095858168184804
045,059,0.1909998365362369
036,092,0.1910271259180371
012,088,0.19103860153649962
089,037,0.19109523014475435
013,025,0.1911149242324844
024,057,0.19113187959935415
001,071,0.19116443936150865
093,058,0.19119198442856772
074,089,0.1912055787521014
091,011,0.19123273452807585
095,063,0.19130612281680737
015,084,0.19133775955876844
017,029,0.19135355445562072
031,083,0.19138121367719446
031,040,0.19140617117412606
098,055,0.19142407422938126
036,042,0.19143057012715833
092,027,0.19143446483691848
048,055,0.19151872344990067
056,015,0.19153143559715874
066,080,0.191533435122108
038,012,0.19158695895596078
083,030,0.19158954878049345
039,014,0.19162502850381613
082,037,0.1916723014288997
098,065,0.19169483357406952
068,025,0.1917299859549345
087,053,0.19174454018812268
083,031,0.19175836964803913
044,079,0.1917717438782502
063,032,0.19179496510914545
088,025,0.19182902572548063
022,051,0.1918442526992669
031,071,0.19195757175274636
073,012,0.19196502118472145
037,082,0.1920214894111862
082,029,0.19206096527674713
053,046,0.19206504121409101
034,008,0.1921254682647632
062,072,0.19220934045690752
070,022,0.19226227857985717
076,045,0.19227629032627114
095,058,0.19230766090374055
033,013,0.1923229902835084
039,034,0.19232404687667434
001,089,0.1923415001171384
046,029,0.19240384822139744
053,087,0.19242896875516882
003,046,0.19255538660661542
015,100,0.1925820346713527
088,012,0.19262905668693336
084,092,0.19265020278973224
